id,movie_id,genre_id
6518,12158,2
6519,12158,11
6520,12158,12
19623,12165,19
19111,12203,1
11493,12224,1
19664,12252,2
19665,12252,11
3853,12263,1
12038,12270,6
12039,12270,7
12040,12270,11
12041,12270,12
12042,12270,16
12043,12270,19
521,12295,1
8491,12297,1
9008,12298,1
9009,12298,2
9010,12298,4
18463,12322,1
13835,12324,1
13836,12324,13
13834,12324,16
17578,12330,1
17579,12330,5
12375,12341,1
19346,12348,4
19345,12348,18
8112,12369,1
8113,12369,6
6048,12393,11
6046,12393,16
6047,12393,17
6049,12393,19
15537,12401,19
12742,12435,1
3818,12482,1
3819,12482,11
14375,12495,1
14376,12495,7
14374,12495,16
8375,12517,1
14194,12529,1
14195,12529,5
19624,12546,19
7768,12587,1
7770,12587,14
7769,12587,19
18776,12597,1
18777,12597,4
18779,12597,7
18778,12597,13
11075,12601,1
11076,12601,5
12610,12612,1
12611,12612,14
14046,12630,1
14047,12630,7
14060,12650,5
14059,12650,11
2811,12667,1
2813,12667,7
2812,12667,13
12028,12682,1
12029,12682,18
18898,12693,1
18899,12693,19
18236,12711,1
18411,12719,1
11266,12737,1
11269,12737,6
11268,12737,14
11267,12737,19
16607,12738,1
11984,12756,1
11986,12756,5
11987,12756,6
11985,12756,19
4115,12787,5
18950,12788,11
9495,12808,5
9494,12808,11
8768,12811,11
12836,12843,7
12834,12843,8
12833,12843,16
12835,12843,19
4993,12918,1
4995,12918,5
4994,12918,11
13364,12919,7
6250,12923,1
18674,12927,1
15860,12931,1
15861,12931,11
2446,12939,1
8006,12954,7
8004,12954,18
8005,12954,19
12055,12975,7
12054,12975,11
12053,12975,16
